name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.8939926015529711,108.01,0.17
2_Xgboost,Xgboost,auc,0.8903847292840974,107.03,0.173
3_Xgboost,Xgboost,auc,0.8958026946944334,104.02,0.0924
4_Xgboost,Xgboost,auc,0.8692213561142592,94.23,0.0972
5_Xgboost,Xgboost,auc,0.8379080564771547,69.67,0.0973
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8943961532090889,302.83,0.1744
1_Default_Xgboost_GoldenFeatures,Xgboost,auc,0.8926685104225748,117.2,0.1728
2_Xgboost_GoldenFeatures,Xgboost,auc,0.8935350422374029,117.56,0.1692
3_Xgboost_RandomFeature,Xgboost,auc,0.893393531461804,109.88,0.1039
3_Xgboost_SelectedFeatures,Xgboost,auc,0.9071044834053603,49.35,0.0495
6_Xgboost_SelectedFeatures,Xgboost,auc,0.909979002598324,61.01,0.0481
7_Xgboost_SelectedFeatures,Xgboost,auc,0.9031250491473047,45.54,0.0472
8_Xgboost,Xgboost,auc,0.8954720901867681,142.87,0.1015
9_Xgboost,Xgboost,auc,0.8939250752476606,79.71,0.0961
10_Xgboost_SelectedFeatures,Xgboost,auc,0.906634074683826,54.63,0.0476
11_Xgboost_SelectedFeatures,Xgboost,auc,0.9058522351775913,50.52,0.0489
Ensemble,Ensemble,auc,0.9114274719630311,1.55,0.235
