name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_Xgboost,Xgboost,auc,0.8529078889718814,98.13,0.1637
2_Xgboost,Xgboost,auc,0.851953908256682,104.49,0.1707
3_Xgboost,Xgboost,auc,0.8574182623905757,100.9,0.1789
4_Xgboost,Xgboost,auc,0.8324551180430513,73.7,0.1691
5_Xgboost,Xgboost,auc,0.7920908142238102,57.55,0.0915
3_Xgboost_GoldenFeatures,Xgboost,auc,0.8616773672773271,420.53,0.1733
1_Default_Xgboost_GoldenFeatures,Xgboost,auc,0.8575668023514483,108.35,0.1761
2_Xgboost_GoldenFeatures,Xgboost,auc,0.8528894696104238,95.42,0.1717
1_Default_Xgboost_GoldenFeatures_RandomFeature,Xgboost,auc,0.8579640375511187,112.87,0.1604
1_Default_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8654184614822032,74.21,0.1188
6_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8652950788477336,85.05,0.1101
7_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8629833812665615,64.91,0.1167
8_Xgboost_GoldenFeatures,Xgboost,auc,0.8612099759803402,131.75,0.1607
9_Xgboost_GoldenFeatures,Xgboost,auc,0.858817490538069,272.23,0.1571
10_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8662863723135328,65.7,0.1154
11_Xgboost_GoldenFeatures_SelectedFeatures,Xgboost,auc,0.8639349579842175,87.62,0.1195
Ensemble,Ensemble,auc,0.869367213672042,1.25,0.4179
