feature,mean_importance
E_G_gross_property_on_assets_ratio,-0.004273064964016948
E_G_shares_out_on_tot_cap_ratio,-0.0036711566676754905
E_G_total_intangibles_rgro_1q,-0.003514834430305591
E_G_def_tax_liability_on_assets_ratio,-0.0027944543813476887
E_G_effective_tax_rate_rgro_1q,-0.002585947960065471
E_G_quick_ratio_tcgro_4q,-0.002514496247445497
E_G_tangible_book_on_tot_cap_ratio,-0.0023841575034870945
E_G_other_expenses_on_assets_ratio,-0.002341048028209014
E_G_def_tax_assets_rgro_1q,-0.002284705498121975
E_G_shares_out_tcgro_4q,-0.00183783144434696
E_G_capex_on_tot_cap_ratio,-0.0017638304093462898
E_G_r_d_on_tot_cap_ratio,-0.0016986852866197944
E_G_common_equity_on_assets_ratio,-0.0016934589459063343
E_G_minority_int_on_rev_ratio,-0.0014757491015295777
E_G_total_div_tcgro_1q,-0.0014137315250285943
E_G_asset_writedown_tcgro_4q,-0.0012925515134945332
E_G_current_liabilities_on_rev_ratio,-0.0012635219234906514
E_G_int_div_income_agro_1q,-0.0011419656796130995
E_G_int_div_income_rgro_1q,-0.0010202974846282077
E_G_cogs_rgro_4q,-0.0008637000435628873
E_G_current_liabilities_tcgro_1q,-0.000815707384619635
E_G_shares_out_on_rev_ratio,-0.0007793811867614186
E_G_assets_gro_five_agro_4q,-0.0005338131913440348
E_G_sga_on_rev_ratio,-0.0005295386971258198
E_G_cogs_on_rev_ratio,-0.0004907259936194564
E_G_def_tax_liability_tcgro_4q,-0.00045651848766068424
E_G_retained_earnings_on_rev_ratio,-0.0003857453062841798
E_G_def_tax_assets_tcgro_4q,-0.0003492173119618136
E_G_current_liabilities_agro_1q,-0.00031948789774944865
E_G_operating_income_on_rev_ratio,-0.00024186479473601308
E_G_repurchase_stock_tcgro_1q,-0.00023349750690980774
E_G_payables_on_tot_cap_ratio,-0.00019792126583441095
E_G_payables_tcgro_4q,-8.390163287456121e-05
E_G_repurchase_stock_tcgro_4q,-1.5866539199682618e-05
E_G_current_liabilities_on_tot_cap_ratio,-7.3106978953352275e-06
E_G_compre_income_on_rev_ratio,8.86319772847699e-05
E_G_repurchase_stock_on_assets_ratio,9.720303790824447e-05
E_G_sga_rgro_4q,0.00010662425248880725
E_G_int_div_income_tcgro_1q,0.0001886426418714504
E_G_ebit_rgro_4q,0.00023420146873441848
E_G_def_tax_assets_on_tot_cap_ratio,0.0002750434355279663
E_G_cash_acquisitions_on_tot_cap_ratio,0.0003437901935876675
E_G_gross_property_rgro_4q,0.0003839027826507024
E_G_net_property_on_tot_cap_ratio,0.0004009678715101384
E_G_total_div_on_rev_ratio,0.0004049849281796081
E_G_other_expenses_tcgro_1q,0.00042953901229283444
E_G_def_tax_assets_on_assets_ratio,0.00042999336873353886
E_G_ammor_intangibles_on_tot_cap_ratio,0.00048784344983765493
E_G_int_div_income_tcgro_4q,0.0005447630992678309
E_G_def_tax_liability_agro_4q,0.0005448847287703451
E_G_assets_gro_five_rgro_4q,0.0005524274095450643
E_G_working_cap_on_tot_cap_ratio,0.0006211404224827133
E_G_effective_tax_rate_on_rev_ratio,0.000657750605113161
E_G_retained_earnings_on_tot_cap_ratio,0.0006711116295505471
E_G_gross_profit_on_tot_cap_ratio,0.000675064738204012
E_G_repurchase_stock_rgro_1q,0.0007057633420511023
E_G_gross_profit_on_rev_ratio,0.0007670881078148173
E_G_repurchase_stock_agro_4q,0.000810684858645705
E_G_norm_net_inc_tcgro_1q,0.0008408694612031641
E_G_total_assets_on_tot_cap_ratio,0.0009027518900615705
E_G_ops_expenses_rgro_4q,0.0009109369237157883
E_G_retained_earnings_on_assets_ratio,0.0009286946452635725
E_G_total_liabilities_on_tot_cap_ratio,0.0009445314513825797
E_G_def_tax_assets_on_rev_ratio,0.0009962051538848437
E_G_gross_profit_on_assets_ratio,0.0010360696228299937
E_G_cost_borrowing_tcgro_4q,0.0010737720976179642
E_G_r_d_on_rev_ratio,0.0011081846373521497
E_G_depre_amor_agro_4q,0.0011431188479435583
E_G_net_property_on_rev_ratio,0.0011762239982841317
E_G_divestitures_tcgro_4q,0.0012107606028454066
E_G_net_debt_on_tot_cap_ratio,0.0013215561240117913
