feature,mean_importance
E_G_net_debt_agro_1q,-0.004579211142065165
E_G_depre_amor_rgro_4q,-0.004193555189065423
E_G_def_tax_liability_tcgro_1q,-0.004138014282424507
E_G_tangible_book_rgro_1q,-0.0040646340509033155
E_G_sga_agro_4q,-0.003164980047950905
E_G_rev_gro_five_on_assets_ratio,-0.003097998528172485
E_G_rev_gro_five_agro_4q,-0.0030200091281994746
E_G_shares_out_rgro_4q,-0.0029900018310783484
E_G_rev_gro_five_on_rev_ratio,-0.0025721600419630784
E_G_net_income_inc_on_rev_ratio,-0.002560750542950019
E_G_ebt_x_unusual_agro_1q,-0.00226905022413858
E_G_depre_amor_rgro_1q,-0.0022140633961477583
E_G_rev_gro_five_tcgro_4q,-0.00218571052428278
E_G_quick_ratio_on_tot_cap_ratio,-0.0020764038303366593
E_G_sga_on_rev_ratio,-0.0018086185272635723
E_G_net_debt_on_rev_ratio,-0.0017972222773942614
E_G_net_property_rgro_4q,-0.0016769313727698298
E_G_tangible_book_rgro_4q,-0.001424952775011179
E_G_total_intangibles_on_rev_ratio,-0.0014219396883886181
E_G_tangible_book_on_rev_ratio,-0.001412315177159873
E_G_current_liabilities_agro_4q,-0.0014107802802906578
E_G_capex_on_tot_cap_ratio,-0.0012072117708796792
E_G_restructuring_charges_on_assets_ratio,-0.0011909005388444083
E_G_tangible_book_on_tot_cap_ratio,-0.001178129898805369
E_G_sga_on_tot_cap_ratio,-0.0011101663910896508
E_G_cash_acquisitions_tcgro_4q,-0.0010424483104707672
E_G_assets_gro_five_agro_1q,-0.0010233649501006025
E_G_ammor_intangibles_agro_4q,-0.00099713809790547
E_G_issuance_stock_on_tot_cap_ratio,-0.0009827248324863036
E_G_net_property_on_assets_ratio,-0.0009719372225579503
E_G_total_assets_rgro_4q,-0.0009096186187202093
E_G_ops_expenses_agro_4q,-0.0008757647495260645
E_G_receivables_on_tot_cap_ratio,-0.0007725065515385432
E_G_tax_expense_on_assets_ratio,-0.0006861543927195845
E_G_other_expenses_rgro_4q,-0.0006350459000117326
E_G_shares_out_agro_1q,-0.000600043401316075
E_G_cogs_tcgro_1q,-0.0005145688092956458
E_G_asset_writedown_tcgro_4q,-0.00048541364110269434
E_G_net_inc_gro_five_rgro_1q,-0.00046527908670846997
E_G_issuance_stock_on_assets_ratio,-0.0004597308971216685
E_G_ebit_tcgro_4q,-0.0004461071195743016
E_G_inventory_on_rev_ratio,-0.0002804387540449427
E_G_other_expenses_agro_1q,-0.00023684401698729208
E_G_cash_financing_tcgro_1q,-0.00022443580350888225
E_G_int_div_income_on_assets_ratio,-0.0002142899423347333
E_G_assets_gro_five_on_rev_ratio,-0.00017492433428956122
E_G_current_assets_rgro_1q,-0.00015832276708116488
E_G_ammor_intangibles_tcgro_1q,-0.0001466790996750511
E_G_asset_writedown_agro_1q,-0.00010213109234656903
E_G_ops_expenses_tcgro_4q,-3.706385500085174e-05
E_G_tangible_book_on_assets_ratio,-1.992560637431584e-06
E_G_unusual_items_agro_1q,2.9029383938916632e-05
E_G_issuance_stock_tcgro_4q,7.579138406135221e-05
E_G_total_liabilities_tcgro_1q,8.059487367182428e-05
E_G_ammor_intangibles_on_tot_cap_ratio,9.21845293239798e-05
E_G_cash_acquisitions_on_rev_ratio,0.00031744504384477733
E_G_gross_property_tcgro_1q,0.00043293263009839265
E_G_shares_out_on_rev_ratio,0.00043868249074496823
E_G_net_property_rgro_1q,0.0006802173667418199
E_G_cogs_on_rev_ratio,0.0006988605544187454
E_G_total_div_rgro_4q,0.0006998123851660653
E_G_tax_expense_on_rev_ratio,0.0007176703935320772
E_G_ammor_intangibles_rgro_4q,0.0007603504022306584
E_G_def_tax_liability_on_assets_ratio,0.0008634661994019854
E_G_cost_borrowing_on_rev_ratio,0.0008842473166106423
E_G_ebitda_rgro_4q,0.0009866621912715812
E_G_compre_income_on_assets_ratio,0.0010269247400159776
E_G_cash_financing_rgro_4q,0.0010991140635732144
E_G_gross_profit_rgro_4q,0.001153611421396683
E_G_compre_income_agro_4q,0.0011813664071699704
E_G_total_revenues_tcgro_1q,0.0011875175138964188
E_G_rev_gro_five_on_tot_cap_ratio,0.001210973943061988
E_G_total_intangibles_rgro_1q,0.001213900161481829
E_G_gross_property_agro_1q,0.0012233761169718083
E_G_cash_financing_on_rev_ratio,0.0014005268945061378
E_G_interest_expense_rgro_4q,0.001406799152672078
E_G_shares_out_on_tot_cap_ratio,0.0014429337750699878
E_G_ops_expenses_rgro_4q,0.0014655977548006737
E_G_cash_acquisitions_on_assets_ratio,0.00150541490132311
E_G_ammor_intangibles_on_rev_ratio,0.0015578665922226786
E_G_cash_investing_on_rev_ratio,0.0016331110567500695
E_G_ammor_intangibles_on_assets_ratio,0.001705511700782625
E_G_net_property_on_rev_ratio,0.0017445241609401973
E_G_interest_expense_on_tot_cap_ratio,0.0017658741445220395
E_G_issuance_stock_on_rev_ratio,0.0017812151811721576
E_G_depre_amor_on_tot_cap_ratio,0.0018185364369638136
E_G_total_intangibles_on_tot_cap_ratio,0.0018345327300460345
E_G_ebt_x_unusual_rgro_4q,0.0018622660226698673
E_G_total_debt_on_rev_ratio,0.0019860340156186984
E_G_cash_operations_tcgro_4q,0.002026529258371468
E_G_total_intangibles_agro_1q,0.0021135332449730205
E_G_net_property_agro_4q,0.0021787679537659367
E_G_capex_agro_1q,0.002199775009774385
E_G_cost_borrowing_on_tot_cap_ratio,0.002227071778814771
E_G_int_div_income_tcgro_4q,0.002280367892079982
E_G_capex_on_assets_ratio,0.002396919399342412
E_G_payables_on_rev_ratio,0.0024296149241274214
E_G_compre_income_tcgro_4q,0.0024814607764554464
E_G_compre_income_agro_1q,0.002496259853607441
E_G_total_intangibles_agro_4q,0.0025146135662748705
E_G_cash_operations_agro_1q,0.003015335443028966
E_G_common_equity_on_tot_cap_ratio,0.0030386655549395126
E_G_other_expenses_on_assets_ratio,0.0034892259923603565
E_G_retained_earnings_on_assets_ratio,0.003653788699424898
E_G_net_debt_on_tot_cap_ratio,0.004308100494860623
E_G_capex_rgro_4q,0.004539410984805536
E_G_unusual_items_on_assets_ratio,0.004590253152022139
E_G_capex_on_rev_ratio,0.00491427058301942
E_G_net_inc_gro_five_agro_4q,0.005021097665874452
E_G_cost_borrowing_on_assets_ratio,0.005334230499605052
E_G_cash_investing_agro_4q,0.005513602880484381
E_G_effective_tax_rate_on_tot_cap_ratio,0.005699092835992059
E_G_ebitda_on_tot_cap_ratio,0.0057299211261771735
E_G_assets_gro_five_agro_4q,0.0059914617071251345
E_G_current_liabilities_on_tot_cap_ratio,0.006092416261108391
E_G_receivables_tcgro_4q,0.0065173536875952395
E_G_ebitda_on_rev_ratio,0.006600151694423839
E_G_cogs_rgro_4q,0.006736303483522821
E_G_receivables_on_rev_ratio,0.007150783148944129
E_G_assets_gro_five_on_tot_cap_ratio,0.007170809858227467
E_G_receivables_agro_4q,0.007472869058572884
E_G_repurchase_stock_rgro_4q,0.008168045526490919
E_G_issuance_stock_rgro_4q,0.008391249438238668
E_G_int_div_income_on_rev_ratio,0.008818127277592768
E_G_cash_operations_on_assets_ratio,0.009111619976985263
E_G_working_cap_on_assets_ratio,0.009119829982469695
E_G_cash_operations_rgro_4q,0.01113488559023732
E_G_cash_operations_agro_4q,0.014654989330390156
E_G_depre_amor_on_assets_ratio,0.02142351416667062
E_G_gross_profit_rgro_1q,0.031326392881395757
E_G_net_debt_tcgro_4q,0.035732133435024946
E_G_cash_operations_on_tot_cap_ratio,0.04167920658039217
E_G_cash_operations_on_rev_ratio,0.049527715639711964
