year,bin_id,proba_list
2023,0,"[0.0006963014602661133, 0.06900757551193237, 0.06353214383125305, 0.008164197206497192, 0.06453168392181396, 0.029016494750976562, 0.0024278461933135986, 0.023656249046325684, 0.06568840146064758, 0.015574127435684204, 0.060770660638809204, 0.06900942325592041, 0.08767986297607422, 0.0016704201698303223, 0.05219337344169617, 0.08300474286079407, 0.06683942675590515, 0.0167371928691864, 0.038337916135787964, 0.01317983865737915, 0.04374372959136963, 0.04707425832748413, 0.06297615170478821, 0.039246439933776855, 0.0845257043838501, 0.03719985485076904, 0.09863126277923584, 0.07553353905677795, 0.0212571918964386, 0.026103556156158447, 0.09731400012969971, 0.06151139736175537, 0.02602255344390869, 0.03757321834564209, 0.09141397476196289, 0.06527674198150635, 0.045511603355407715, 0.053787022829055786, 0.0915842056274414, 0.07125318050384521, 0.02794298529624939, 0.04082229733467102]"
2023,1,"[0.1369268298149109, 0.1364934742450714, 0.1831488013267517, 0.12687671184539795, 0.17156600952148438, 0.1175171434879303, 0.1802959442138672, 0.1461808979511261, 0.10704612731933594, 0.15408289432525635, 0.1899951696395874, 0.1525026559829712, 0.1751461625099182, 0.18938934803009033, 0.17066669464111328, 0.14449480175971985, 0.1165907084941864, 0.1140245795249939, 0.1532709300518036, 0.16173094511032104, 0.10476282238960266, 0.1545288860797882, 0.1692536175251007, 0.14560794830322266, 0.12357044219970703, 0.19756057858467102, 0.16276386380195618, 0.1256239116191864, 0.1623249650001526, 0.17730391025543213, 0.15882131457328796, 0.13324487209320068, 0.11931079626083374, 0.136152446269989, 0.1835693120956421, 0.1515185534954071, 0.17065641283988953, 0.1618204116821289, 0.17100661993026733, 0.11139297485351562, 0.1186693012714386, 0.17054450511932373, 0.1482355296611786, 0.19951459765434265, 0.15595591068267822, 0.10547712445259094, 0.168340802192688, 0.18938180804252625, 0.16481077671051025, 0.1851051151752472, 0.13424226641654968, 0.186012864112854, 0.19768789410591125, 0.11930111050605774]"
2023,2,"[0.22177481651306152, 0.2616915702819824, 0.23726117610931396, 0.2278411090373993, 0.26649922132492065, 0.21065577864646912, 0.24828216433525085, 0.2198045253753662, 0.22902700304985046, 0.28488990664482117, 0.28390541672706604, 0.2949540317058563, 0.24098169803619385, 0.2767172157764435, 0.24392962455749512, 0.29910218715667725, 0.25631242990493774, 0.26733022928237915, 0.23754960298538208, 0.28844353556632996, 0.28477153182029724, 0.2154724895954132, 0.20751559734344482, 0.29701799154281616, 0.24193981289863586, 0.22564193606376648, 0.2908700704574585, 0.21033209562301636, 0.2472827136516571, 0.29933077096939087, 0.2960059344768524, 0.2154254913330078, 0.22016465663909912, 0.25009971857070923, 0.21613085269927979, 0.2640674412250519, 0.2717733383178711, 0.23891761898994446, 0.21163633465766907, 0.20912489295005798, 0.2820323705673218, 0.21833649277687073, 0.28051871061325073, 0.20739933848381042, 0.2345890998840332, 0.27659112215042114, 0.23518550395965576]"
2023,3,"[0.3947210907936096, 0.37524330615997314, 0.31166595220565796, 0.34190988540649414, 0.3167530298233032, 0.3441786766052246, 0.39522111415863037, 0.3065379858016968, 0.354793906211853, 0.31817376613616943, 0.30590584874153137, 0.39370790123939514, 0.3863990604877472, 0.3090595006942749, 0.33968040347099304, 0.34045055508613586, 0.3210490942001343, 0.3367302715778351, 0.37720680236816406, 0.323722779750824, 0.3437627851963043, 0.38223665952682495, 0.33318787813186646, 0.3152772784233093, 0.30394506454467773, 0.308165580034256, 0.3426460027694702, 0.38984495401382446, 0.35419219732284546, 0.3132873475551605, 0.3123461902141571, 0.3378317356109619, 0.3211681842803955, 0.38033536076545715, 0.3406842350959778, 0.3522135317325592, 0.3485931158065796, 0.3486715853214264, 0.32038185000419617, 0.38445180654525757, 0.35180574655532837, 0.3338993787765503, 0.3186924159526825, 0.3578729033470154]"
2023,4,"[0.45365211367607117, 0.47738343477249146, 0.4014632999897003, 0.4922748804092407, 0.4671533405780792, 0.4838182330131531, 0.43853121995925903, 0.448312371969223, 0.48841536045074463, 0.4411623179912567, 0.41963499784469604, 0.4731696844100952, 0.4811870753765106, 0.4918515384197235, 0.42817556858062744, 0.44587278366088867, 0.49604812264442444, 0.4454190731048584, 0.43343767523765564, 0.49051645398139954, 0.4839887022972107, 0.498362272977829, 0.4158893823623657, 0.49458539485931396, 0.4829338490962982, 0.4738561809062958, 0.47725751996040344, 0.4630889892578125, 0.4516369104385376, 0.47557854652404785, 0.4347115755081177, 0.4185055196285248, 0.49122709035873413, 0.4010152220726013, 0.47314831614494324, 0.464718759059906, 0.4542507231235504, 0.45337367057800293, 0.464821457862854, 0.4186140298843384, 0.45905017852783203, 0.4011342525482178, 0.41580766439437866, 0.48048946261405945, 0.4963782727718353, 0.4963090717792511, 0.48227623105049133]"
2023,5,"[0.5880371332168579, 0.5240423679351807, 0.584785521030426, 0.580039381980896, 0.5622656345367432, 0.5178245306015015, 0.5224695205688477, 0.5696537494659424, 0.5044617652893066, 0.5031102895736694, 0.5232003331184387, 0.5495983362197876, 0.5780590772628784, 0.5242858529090881, 0.5279276371002197, 0.540647029876709, 0.5806875228881836, 0.5652908682823181, 0.5763003826141357, 0.5743419528007507, 0.5685908794403076, 0.5958406329154968, 0.5052481293678284, 0.5871938467025757, 0.5752585530281067, 0.5058414936065674, 0.588327944278717, 0.5471866130828857, 0.5950197577476501, 0.5115078687667847, 0.5191376209259033, 0.5861459970474243, 0.57354736328125, 0.5299174785614014, 0.5908742547035217, 0.5484136939048767, 0.5301796197891235, 0.5172386169433594, 0.5948456525802612, 0.5414092540740967, 0.5991413593292236, 0.5041612386703491, 0.5753568410873413, 0.5327903628349304, 0.5444512963294983, 0.5469731092453003, 0.5429791808128357, 0.5950781106948853, 0.557338535785675, 0.5939264297485352, 0.5161154270172119, 0.599984884262085, 0.5655831098556519, 0.5007456541061401, 0.5560243129730225, 0.5137580633163452, 0.5345908403396606, 0.5972414016723633, 0.5424331426620483, 0.5049973130226135]"
2023,6,"[0.6767534613609314, 0.6834017038345337, 0.6024723052978516, 0.6767524480819702, 0.6089427471160889, 0.6971155405044556, 0.6010587215423584, 0.6290735006332397, 0.6028604507446289, 0.6671947836875916, 0.6617953181266785, 0.6341245174407959, 0.6854368448257446, 0.6592475771903992, 0.6971256136894226, 0.6900249719619751, 0.6617066264152527, 0.6844861507415771, 0.6362829804420471, 0.6183141469955444, 0.6843549013137817, 0.6718503832817078, 0.688790500164032, 0.6507141590118408, 0.6667113900184631, 0.6071170568466187, 0.6242493987083435, 0.6982810497283936, 0.6562320590019226, 0.6327123641967773, 0.6677284240722656, 0.6631895303726196, 0.6048177480697632, 0.6269371509552002, 0.6982848644256592, 0.6993131637573242, 0.6497493982315063, 0.6392849683761597, 0.6969687938690186, 0.6839792728424072, 0.604793906211853, 0.6798927783966064, 0.6862772703170776, 0.6486854553222656, 0.6849178075790405, 0.6270573735237122, 0.6312239766120911, 0.6873863339424133, 0.6644776463508606, 0.6760894656181335, 0.6187770962715149, 0.6487588882446289, 0.6691823601722717, 0.6668625473976135, 0.6882293820381165, 0.6679636240005493, 0.640342116355896, 0.6418667435646057, 0.6683248281478882, 0.6977723836898804, 0.6914082169532776, 0.6582408547401428, 0.6855658888816833, 0.6171677112579346, 0.6437128186225891, 0.6885034441947937]"
2023,7,"[0.7954540252685547, 0.7550907135009766, 0.7328863143920898, 0.7362465262413025, 0.7426974177360535, 0.7935144901275635, 0.7961116433143616, 0.7808101773262024, 0.7255710363388062, 0.7004925012588501, 0.7758337259292603, 0.7832252383232117, 0.7198293209075928, 0.7730938196182251, 0.7554370164871216, 0.7707805633544922, 0.7147197723388672, 0.7504256963729858, 0.7873286604881287, 0.7716925144195557, 0.7555691599845886, 0.7665494680404663, 0.7453638315200806, 0.7529398798942566, 0.7378867864608765, 0.7265427112579346, 0.7543516755104065, 0.78155517578125, 0.7253862619400024, 0.7010688781738281, 0.7076390981674194, 0.7470611333847046, 0.7357423305511475, 0.7486370205879211, 0.7195470333099365, 0.7536399960517883, 0.7520503401756287, 0.7078994512557983, 0.722906768321991, 0.739284336566925, 0.7011219263076782, 0.7064470648765564, 0.7784128189086914, 0.7847566604614258, 0.795061469078064, 0.7120319604873657, 0.7620634436607361, 0.755591630935669, 0.758436918258667, 0.7073758840560913, 0.7004928588867188, 0.7805038094520569, 0.7802475094795227, 0.7827799916267395, 0.7572242617607117, 0.7662022709846497, 0.7887458801269531, 0.7202876806259155, 0.7366024255752563, 0.7714964151382446, 0.7091487646102905, 0.7432906627655029, 0.733167290687561, 0.724277138710022, 0.7963664531707764, 0.7269049882888794, 0.7430601119995117, 0.7850609421730042, 0.7244621515274048, 0.7332631945610046, 0.7747024297714233, 0.7360677719116211, 0.7123311758041382, 0.7401018142700195, 0.71055006980896, 0.778730034828186, 0.7474578022956848, 0.782700777053833, 0.7686137557029724, 0.7407213449478149, 0.748488187789917]"
2023,8,"[0.8323297500610352, 0.8020402789115906, 0.8449954986572266, 0.8771793246269226, 0.8713027834892273, 0.8150827884674072, 0.8897868990898132, 0.8028340935707092, 0.8481715321540833, 0.8964990377426147, 0.8323137760162354, 0.8391590118408203, 0.8551677465438843, 0.8870046734809875, 0.8163067102432251, 0.8923609256744385, 0.8884236812591553, 0.8393232822418213, 0.8883472084999084, 0.8792234659194946, 0.8555377721786499, 0.8471713662147522, 0.8077686429023743, 0.8434556722640991, 0.8108209371566772, 0.8144042491912842, 0.828258216381073, 0.8171937465667725, 0.8947403430938721, 0.8946554660797119, 0.8128564953804016, 0.8894319534301758, 0.8512676358222961, 0.8698310256004333, 0.8016023635864258, 0.8386730551719666, 0.827709436416626, 0.8110755681991577, 0.876958429813385, 0.8207706212997437, 0.8868255615234375, 0.8539384603500366, 0.871711015701294, 0.836713433265686, 0.8102929592132568, 0.8934579491615295, 0.8676740527153015, 0.8846490383148193, 0.8766597509384155, 0.8361650705337524, 0.8743644952774048, 0.8935841917991638, 0.8126987218856812, 0.8068812489509583, 0.8710262179374695, 0.8815162181854248, 0.8301686644554138, 0.8498300313949585, 0.819742739200592, 0.8580490946769714, 0.8410188555717468, 0.8935142159461975, 0.8702314496040344, 0.8899742364883423, 0.8953061699867249, 0.8669143915176392, 0.8631688952445984, 0.8925344347953796, 0.8194184899330139, 0.8118899464607239, 0.8891732692718506, 0.8176057934761047, 0.8612094521522522, 0.8163213133811951, 0.815237283706665, 0.8954929113388062, 0.8358728885650635, 0.8344682455062866, 0.8684642314910889, 0.8813146352767944, 0.8479540944099426, 0.8038938045501709, 0.889693021774292, 0.8090980052947998, 0.8941526412963867, 0.8797519207000732, 0.8199145793914795, 0.84537672996521, 0.8051645755767822, 0.8785736560821533, 0.8598693609237671, 0.864798903465271, 0.8172188997268677, 0.8258264660835266, 0.8102712631225586, 0.8324844241142273, 0.8244674801826477, 0.8470215201377869, 0.8314006328582764, 0.8945813775062561, 0.8422476053237915, 0.8239845633506775, 0.8921239376068115, 0.8657525181770325, 0.8320009708404541, 0.8012090921401978, 0.8514726161956787, 0.8418725728988647]"
2023,9,"[0.9150867462158203, 0.907369077205658, 0.9453954696655273, 0.9908061623573303, 0.9901338219642639, 0.9884315729141235, 0.9765589833259583, 0.9718492031097412, 0.9593929052352905, 0.9326210021972656, 0.9495830535888672, 0.9392893314361572, 0.9744968414306641, 0.9614111185073853, 0.9342356324195862, 0.9489425420761108, 0.9808419942855835, 0.9377908706665039, 0.988886833190918, 0.9490188956260681, 0.989732027053833, 0.9487184286117554, 0.9061900973320007, 0.9873800277709961, 0.9679821133613586, 0.9174103140830994, 0.9857483506202698, 0.9730541706085205, 0.9415560364723206, 0.9740139842033386, 0.9818935990333557, 0.9199020862579346, 0.9371904730796814, 0.9501784443855286, 0.9543588757514954, 0.9825906753540039, 0.982997715473175, 0.972360372543335, 0.9828031063079834, 0.9080041646957397, 0.9636385440826416, 0.952191948890686, 0.974517822265625, 0.9205095171928406, 0.9699094295501709, 0.9712947607040405, 0.9411317706108093, 0.9370757937431335, 0.9667981863021851, 0.9493663311004639, 0.9822172522544861, 0.9879184365272522, 0.923932671546936, 0.9033263325691223, 0.9688052535057068, 0.9840755462646484, 0.9642319083213806, 0.9388018250465393, 0.9495222568511963, 0.9517958164215088, 0.9004092812538147, 0.9668094515800476, 0.9793083667755127, 0.9856160879135132, 0.9052759408950806, 0.9592058658599854, 0.9436066150665283, 0.956072211265564, 0.9202451705932617, 0.9766181111335754, 0.9832967519760132, 0.9891970157623291, 0.9795213341712952, 0.9635127782821655, 0.9828538298606873, 0.9132525324821472, 0.9332380890846252, 0.9392867684364319, 0.9086055755615234, 0.9523866176605225, 0.9130480885505676, 0.9336341619491577, 0.9373805522918701, 0.9780902862548828, 0.9653061032295227, 0.9162256717681885, 0.9132578372955322, 0.9519539475440979, 0.9253839254379272, 0.9850513935089111, 0.9555001854896545, 0.9484254717826843, 0.9700935482978821, 0.9439780116081238, 0.9684263467788696, 0.9054588079452515, 0.9284405708312988, 0.9686887264251709, 0.9869115352630615, 0.9898601770401001, 0.9808887243270874, 0.9402114748954773, 0.9465733170509338, 0.9529759287834167, 0.9740356206893921, 0.9959114193916321, 0.9832894802093506, 0.9789705276489258, 0.9815244674682617, 0.9513418674468994, 0.9323680400848389, 0.969464898109436, 0.9635190963745117, 0.9665066003799438, 0.9880990982055664, 0.9027955532073975, 0.9526007771492004, 0.9328081607818604, 0.9367706179618835, 0.9058574438095093, 0.951244592666626, 0.9109159708023071, 0.9810791015625]"
