date,binary_target_cash_operations,proba_class_0,proba_class_1,margin_proba,window,cid
2023-02-16,0,0.9414561,0.05854395,-0.88291216,2019-2024,MISSING
2023-03-10,0,0.23159635,0.76840365,0.5368073,2019-2024,MISSING
2023-05-04,0,0.6178963,0.3821037,-0.2357926,2019-2024,MISSING
2023-05-11,0,0.60126287,0.39873713,-0.20252573,2019-2024,MISSING
2023-08-03,0,0.102472484,0.8975275,0.79505503,2019-2024,MISSING
2023-11-02,1,0.187352,0.812648,0.625296,2019-2024,MISSING
2023-02-23,1,0.79276735,0.20723267,-0.5855347,2019-2024,SP-001096
2023-05-02,0,0.76054645,0.23945355,-0.5210929,2019-2024,SP-001096
2023-08-02,0,0.5168684,0.4831316,-0.033736825,2019-2024,SP-001096
2023-11-01,0,0.2435168,0.7564832,0.5129664,2019-2024,SP-001096
2024-01-15,0,0.37844282,0.6215572,0.24311435,2019-2024,SP-001096
2023-02-16,1,0.561423,0.438577,-0.12284601,2019-2024,SP-001186
2023-03-24,1,0.7923467,0.20765328,-0.58469343,2019-2024,SP-001186
2023-04-27,1,0.49093002,0.50907,0.018139958,2019-2024,SP-001186
2023-07-26,1,0.8424351,0.15756488,-0.68487024,2019-2024,SP-001186
2023-10-25,1,0.3810339,0.6189661,0.2379322,2019-2024,SP-001186
2023-05-03,0,0.70428467,0.29571536,-0.4085693,2019-2024,SP-001262
2023-08-04,0,0.55545866,0.44454136,-0.1109173,2019-2024,SP-001262
2023-11-03,0,0.76732266,0.23267731,-0.5346453,2019-2024,SP-001262
2023-02-13,0,0.92441887,0.07558113,-0.84883773,2019-2024,SP-001263
2023-06-21,1,0.66016454,0.33983546,-0.32032907,2019-2024,SP-001263
2023-08-10,1,0.49789035,0.50210965,0.0042192936,2019-2024,SP-001263
2023-11-02,1,0.46249664,0.53750336,0.07500672,2019-2024,SP-001263
2024-02-06,0,0.2833478,0.7166522,0.43330443,2019-2024,SP-001263
2023-03-02,0,0.47985876,0.52014124,0.040282488,2019-2024,SP-001828
2023-04-27,0,0.425533,0.574467,0.148934,2019-2024,SP-001828
2023-07-27,0,0.79799056,0.20200941,-0.5959811,2019-2024,SP-001828
2023-10-26,0,0.81786525,0.18213473,-0.6357305,2019-2024,SP-001828
2023-02-15,1,0.74459887,0.2554011,-0.48919776,2019-2024,SP-002055
2023-05-03,1,0.52094245,0.47905755,-0.0418849,2019-2024,SP-002055
2023-08-08,1,0.36567563,0.6343244,0.26864874,2019-2024,SP-002055
2023-11-02,1,0.23833615,0.76166385,0.5233277,2019-2024,SP-002055
2023-03-03,0,0.95456046,0.04543956,-0.9091209,2019-2024,SP-002137
