date,target,predicted,window,sid,train_start,train_end,tampon_1,val_start,val_end,tampon_2,test_start,test_end
2013-06-30,1,0,2010-2014,SID-0000,2010-03-31,2012-03-30,2012-04-30,2012-05-01,2013-04-30,2013-05-30,2013-05-31,2014-05-30
2013-09-30,1,1,2010-2014,SID-0000,2010-03-31,2012-03-30,2012-04-30,2012-05-01,2013-04-30,2013-05-30,2013-05-31,2014-05-30
2013-12-31,1,1,2010-2014,SID-0000,2010-03-31,2012-03-30,2012-04-30,2012-05-01,2013-04-30,2013-05-30,2013-05-31,2014-05-30
2014-03-31,0,0,2010-2014,SID-0000,2010-03-31,2012-03-30,2012-04-30,2012-05-01,2013-04-30,2013-05-30,2013-05-31,2014-05-30
2014-06-30,0,1,2011-2015,SID-0000,2011-03-31,2013-03-30,2013-04-30,2013-05-01,2014-04-30,2014-05-30,2014-05-31,2015-05-30
2014-09-30,0,0,2011-2015,SID-0000,2011-03-31,2013-03-30,2013-04-30,2013-05-01,2014-04-30,2014-05-30,2014-05-31,2015-05-30
2014-12-31,1,1,2011-2015,SID-0000,2011-03-31,2013-03-30,2013-04-30,2013-05-01,2014-04-30,2014-05-30,2014-05-31,2015-05-30
2015-03-31,0,0,2011-2015,SID-0000,2011-03-31,2013-03-30,2013-04-30,2013-05-01,2014-04-30,2014-05-30,2014-05-31,2015-05-30
2015-06-30,1,1,2012-2016,SID-0000,2012-03-31,2014-03-30,2014-04-30,2014-05-01,2015-04-30,2015-05-30,2015-05-31,2016-05-30
2015-09-30,1,1,2012-2016,SID-0000,2012-03-31,2014-03-30,2014-04-30,2014-05-01,2015-04-30,2015-05-30,2015-05-31,2016-05-30
2015-12-31,1,0,2012-2016,SID-0000,2012-03-31,2014-03-30,2014-04-30,2014-05-01,2015-04-30,2015-05-30,2015-05-31,2016-05-30
2016-03-31,1,1,2012-2016,SID-0000,2012-03-31,2014-03-30,2014-04-30,2014-05-01,2015-04-30,2015-05-30,2015-05-31,2016-05-30
2016-06-30,1,0,2013-2017,SID-0000,2013-03-31,2015-03-30,2015-04-30,2015-05-01,2016-04-30,2016-05-30,2016-05-31,2017-05-30
2016-09-30,1,1,2013-2017,SID-0000,2013-03-31,2015-03-30,2015-04-30,2015-05-01,2016-04-30,2016-05-30,2016-05-31,2017-05-30
2016-12-31,1,0,2013-2017,SID-0000,2013-03-31,2015-03-30,2015-04-30,2015-05-01,2016-04-30,2016-05-30,2016-05-31,2017-05-30
2017-03-31,0,1,2013-2017,SID-0000,2013-03-31,2015-03-30,2015-04-30,2015-05-01,2016-04-30,2016-05-30,2016-05-31,2017-05-30
2017-06-30,0,1,2014-2018,SID-0000,2014-03-31,2016-03-30,2016-04-30,2016-05-01,2017-04-30,2017-05-30,2017-05-31,2018-05-30
2017-09-30,0,1,2014-2018,SID-0000,2014-03-31,2016-03-30,2016-04-30,2016-05-01,2017-04-30,2017-05-30,2017-05-31,2018-05-30
2017-12-31,0,1,2014-2018,SID-0000,2014-03-31,2016-03-30,2016-04-30,2016-05-01,2017-04-30,2017-05-30,2017-05-31,2018-05-30
2018-03-31,1,1,2014-2018,SID-0000,2014-03-31,2016-03-30,2016-04-30,2016-05-01,2017-04-30,2017-05-30,2017-05-31,2018-05-30
2018-06-30,1,1,2015-2019,SID-0000,2015-03-31,2017-03-30,2017-04-30,2017-05-01,2018-04-30,2018-05-30,2018-05-31,2019-05-30
2018-09-30,0,0,2015-2019,SID-0000,2015-03-31,2017-03-30,2017-04-30,2017-05-01,2018-04-30,2018-05-30,2018-05-31,2019-05-30
2018-12-31,0,1,2015-2019,SID-0000,2015-03-31,2017-03-30,2017-04-30,2017-05-01,2018-04-30,2018-05-30,2018-05-31,2019-05-30
2019-03-31,1,1,2015-2019,SID-0000,2015-03-31,2017-03-30,2017-04-30,2017-05-01,2018-04-30,2018-05-30,2018-05-31,2019-05-30
2019-06-30,0,1,2016-2020,SID-0000,2016-03-31,2018-03-30,2018-04-30,2018-05-01,2019-04-30,2019-05-30,2019-05-31,2020-05-30
2019-09-30,1,1,2016-2020,SID-0000,2016-03-31,2018-03-30,2018-04-30,2018-05-01,2019-04-30,2019-05-30,2019-05-31,2020-05-30
2019-12-31,1,1,2016-2020,SID-0000,2016-03-31,2018-03-30,2018-04-30,2018-05-01,2019-04-30,2019-05-30,2019-05-31,2020-05-30
2020-03-31,1,1,2016-2020,SID-0000,2016-03-31,2018-03-30,2018-04-30,2018-05-01,2019-04-30,2019-05-30,2019-05-31,2020-05-30
